2020-09-29 22:23:28,993 - INFO - #####################################
2020-09-29 22:23:29,015 - INFO - ############Start Training###########
2020-09-29 22:23:29,015 - INFO - #####################################
2020-09-29 22:24:52,961 - INFO - Env 17, Goal (-02.5, -02.5), Episode 00006, setp 015, Reward -27.6, Crashed,
2020-09-29 22:24:52,984 - INFO - Env 15, Goal (003.5, -02.5), Episode 00006, setp 001, Reward -30.0, Crashed,
2020-09-29 22:24:53,780 - INFO - Env 10, Goal (010.0, 010.0), Episode 00003, setp 036, Reward -23.3, Crashed,
2020-09-29 22:24:53,780 - INFO - Env 11, Goal (012.0, 010.0), Episode 00003, setp 028, Reward -26.2, Crashed,
2020-09-29 22:24:53,785 - INFO - Env 13, Goal (016.0, 010.0), Episode 00003, setp 001, Reward -30.0, Crashed,
2020-09-29 22:24:53,785 - INFO - Env 12, Goal (014.0, 010.0), Episode 00003, setp 025, Reward -27.0, Crashed,
2020-09-29 22:24:53,788 - INFO - Env 14, Goal (018.0, 010.0), Episode 00003, setp 001, Reward -30.0, Crashed,
2020-09-29 22:24:59,003 - INFO - Env 20, Goal (-00.5, -05.5), Episode 00004, setp 087, Reward -33.6, Crashed,
2020-09-29 22:24:59,007 - INFO - Env 22, Goal (003.5, -05.5), Episode 00004, setp 051, Reward -41.0, Crashed,
2020-09-29 22:24:59,007 - INFO - Env 23, Goal (005.5, -05.5), Episode 00004, setp 051, Reward -41.6, Crashed,
2020-09-29 22:24:59,011 - INFO - Env 19, Goal (-02.5, -05.5), Episode 00004, setp 055, Reward -38.2, Crashed,
2020-09-29 22:24:59,012 - INFO - Env 21, Goal (001.5, -05.5), Episode 00004, setp 064, Reward -42.3, Crashed,
2020-09-29 22:24:59,572 - INFO - Env 20, Goal (-00.5, -05.5), Episode 00005, setp 001, Reward -47.5, Crashed,
2020-09-29 22:24:59,576 - INFO - Env 19, Goal (-02.5, -05.5), Episode 00005, setp 001, Reward -47.5, Crashed,
2020-09-29 22:24:59,579 - INFO - Env 21, Goal (001.5, -05.5), Episode 00005, setp 001, Reward -47.5, Crashed,
2020-09-29 22:24:59,583 - INFO - Env 22, Goal (003.5, -05.5), Episode 00005, setp 001, Reward -47.5, Crashed,
2020-09-29 22:24:59,583 - INFO - Env 37, Goal (009.7, -04.9), Episode 00001, setp 113, Reward -35.9, Crashed,
2020-09-29 22:24:59,583 - INFO - Env 42, Goal (018.7, -15.6), Episode 00001, setp 001, Reward -38.0, Crashed,
2020-09-29 22:24:59,583 - INFO - Env 40, Goal (014.0, -01.7), Episode 00001, setp 001, Reward -56.1, Crashed,
2020-09-29 22:24:59,584 - INFO - Env 36, Goal (012.5, -16.7), Episode 00001, setp 013, Reward -47.6, Crashed,
2020-09-29 22:24:59,584 - INFO - Env 38, Goal (016.0, -13.3), Episode 00001, setp 012, Reward -43.4, Crashed,
2020-09-29 22:24:59,584 - INFO - Env 34, Goal (009.7, -16.6), Episode 00001, setp 001, Reward -52.2, Crashed,
2020-09-29 22:24:59,585 - INFO - Env 35, Goal (011.9, -04.9), Episode 00001, setp 001, Reward -43.8, Crashed,
